ID,sapServer,usage,databaseServer,programName,activeUsersOfTheProgram,noOfTimesThePgmRunForTheMonth,executionMonth,currentRunningTimeinCPUSeconds,energyConsumptioninMWH,co2EmissioninMG
321,,PROD,,Y0NWM_0009,,1,Jan,242,,0.121
322,,PROD,,Y0NWM_0010,,1,Jan,2230,,1.115
323,,PROD,,Y0NWM_0011,,1,Jan,8403,,4.2015
324,,PROD,,Y0NWM_0012,,1,Jan,126,,0.063
325,,PROD,,Y0NWM_0013,,1,Jan,212,,0.106
326,,PROD,,Y0NWM_0015,,1,Jan,86,,0.043
327,,PROD,,Y0NWM_0016,,1,Jan,2,,0.001
328,,PROD,,Y0NWM_0018,,1,Jan,156,,0.078
329,,PROD,,Y0NWM_0021,,1,Jan,93,,0.0465
330,,PROD,,Y0NWM_0022,,1,Jan,233,,0.1165
331,,PROD,,Y0NWM_0023,,1,Jan,2,,0.001
332,,PROD,,Y0NWM_0025,,1,Jan,4136,,2.068
333,,PROD,,Y0NWM_0028,,1,Jan,176,,0.088
334,,PROD,,Y0NWM_0029,,1,Jan,3,,0.0015
335,,PROD,,Y0NWM_0031,,1,Jan,1595,,0.7975
336,,PROD,,Y0NWM_0033,,1,Jan,70,,0.035
337,,PROD,,Y0NWM_0035,,1,Jan,46,,0.023
338,,PROD,,Y0NWM_0036,,1,Jan,10,,0.005
339,,PROD,,Y0NWM_0038,,1,Jan,4154,,2.077
340,,PROD,,Y0NWM_0039,,1,Jan,7,,0.0035
341,,PROD,,Y0NWM_0040,,1,Jan,17,,0.0085
342,,PROD,,Y0NWM_0041,,1,Jan,72,,0.036
343,,PROD,,Y0NWM_0042,,1,Jan,139,,0.0695
344,,PROD,,Y0NWM_0043,,1,Jan,21,,0.0105
345,,PROD,,Y0NWM_0044,,1,Jan,1,,0.0005
346,,PROD,,Y0NWM_0046,,1,Jan,14,,0.007
347,,PROD,,Y0NWM_0047,,1,Jan,1,,0.0005
348,,PROD,,Y0NWM_0048,,1,Jan,3,,0.0015
349,,PROD,,Y0NWM_ZAR0013,,5,Jan,69,,0.0345
350,,PROD,,Y0NWM_ZAR0021,,2,Jan,2033,,1.0165
351,,PROD,,Y0PRD_0004,,1,Jan,2,,0.001
352,,PROD,,Y0PRIDE_0011,,1,Jan,29,,0.0145
353,,PROD,,Z_INACTIVE,,1,Jan,1,,0.0005
354,,PROD,,Z_USER_ROLE_TCODE,,1,Jan,179,,0.0895
355,,PROD,,Z_USER_TCODE,,1,Jan,115,,0.0575
356,,PROD,,ZCLJOBMON_ALERT_EMAIL_ENH=====CP,,1,Jan,1,,0.0005
357,,PROD,,ZMNFI_0006,,1,Jan,21,,0.0105
358,,PROD,,ZMNFI_0014,,1,Jan,670,,0.335
359,,PROD,,ZMNMM_0007,,1,Jan,58,,0.029
360,,PROD,,ZMNMM_0009,,1,Jan,29,,0.0145
361,,PROD,,ZMNMM_ZAR0041,,1,Jan,489,,0.2445
362,,PROD,,ZMNMM_ZAR0043,,1,Jan,21,,0.0105
363,,PROD,,ZMNSD_0003,,1,Jan,265,,0.1325
364,,PROD,,ZMNSD_0004,,1,Jan,812,,0.406
365,,PROD,,ZMNSD_0006,,1,Jan,27,,0.0135
366,,PROD,,ZMNSD_0008,,1,Jan,6,,0.003
367,,PROD,,ZMNSD_0009,,1,Jan,1995,,0.9975
368,,PROD,,ZMNSD_ZAR0007,,2,Jan,5201,,2.6005
369,,PROD,,ZPNFI_ZAB0001,,1,Jan,27,,0.0135
370,,PROD,,ZRNFI_0002,,1,Jan,50,,0.025
371,,PROD,,ZRNFI_0006,,1,Jan,6,,0.003
372,,PROD,,ZRNFI_0007,,1,Jan,4780,,2.39
373,,PROD,,ZRNFI_0010,,1,Jan,1397,,0.6985
374,,PROD,,ZRNFI_0023,,1,Jan,44,,0.022
375,,PROD,,ZRNFI_0024,,1,Jan,5317,,2.6585
376,,PROD,,ZRNFI_0026,,1,Jan,13,,0.0065
377,,PROD,,ZRNFI_0027,,1,Jan,104,,0.052
378,,PROD,,ZRNFI_0029,,1,Jan,1,,0.0005
379,,PROD,,ZRNFI_0030,,1,Jan,2,,0.001
380,,PROD,,ZRNFI_0031,,1,Jan,1536,,0.768
381,,PROD,,ZRNFI_0035,,1,Jan,2095,,1.0475
382,,PROD,,ZRNFI_ZAO0005,,1,Jan,2753,,1.3765
383,,PROD,,ZRNFI_ZAO0008,,1,Jan,157,,0.0785
384,,PROD,,ZRNFI_ZAO0009,,1,Jan,288,,0.144
385,,PROD,,ZRNFI_ZAR0006,,2,Jan,213348,,106.674
386,,PROD,,ZRNMM_0001,,1,Jan,89,,0.0445
387,,PROD,,ZRNMM_0002,,1,Jan,103,,0.0515
